tag,cfg,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
v2.0.0,AI,-4.318474725274725,-16.620508791208792,-18.849936263736264,-5.775147252747253,-4.321210989010989,-4.624938461538461,-5.2544571428571425,-5.179678021978022,-4.668645054945055,-9.406575824175823,-4.296828571428571,-16.629631868131867,-18.810642857142856,-5.205257142857143
v2.0.0,AS,-2.861925,-8.7768625,-8.995862500000001,-3.578475,-2.568225,-2.8171625000000002,-2.2037875000000002,-2.3041375,-3.1276,-5.5004375,-2.8773,-8.7836625,-9.141125,-3.526875
v2.0.0,LD,-1.783894642857143,-10.724725000000001,-11.0054,-2.6455142857142855,-2.170225,-2.263744642857143,-2.254073214285714,-2.1492642857142856,-1.7285732142857142,-4.314666071428571,-1.862355357142857,-10.689055357142857,-10.826282142857142,-2.5171214285714285
v2.0.0,RA,-2.971540659340659,-9.882387912087912,-11.612115384615386,-3.7986538461538464,-2.8109571428571427,-3.1726450549450544,-2.813968131868132,-2.6236604395604393,-2.89572967032967,-5.398325274725274,-3.1624626373626374,-9.765250549450549,-11.228131868131868,-3.4036901098901096
v2.0.0,Still,-2.817208771929825,-12.455756140350879,-15.42590701754386,-3.9986105263157894,-3.251359649122807,-3.1683877192982455,-3.5311508771929825,-3.6058315789473685,-3.9585666666666666,-5.915001754385965,-2.817208771929825,-12.455756140350879,-15.42590701754386,-3.278654385964912
v3.0.0,AI,-7.523592307692307,-19.20289010989011,-22.192128571428572,-8.954147252747253,-6.828404395604396,-7.302535164835165,-7.7185978021978014,-7.529079120879121,-7.337176923076923,-12.640457142857143,-7.513916483516483,-19.18605714285714,-22.14782307692308,-8.356725274725274
v3.0.0,AS,-12.3428625,-14.73105,-16.6355625,-12.726075,-10.0233625,-11.3174125,-15.2303,-14.61875,-11.635275,-13.9851875,-12.3673125,-14.703575,-16.7515875,-12.772287500000001
v3.0.0,LD,-6.518314285714285,-15.806169642857142,-15.259046428571429,-7.373253571428571,-6.4566517857142856,-6.5621535714285715,-7.4854482142857135,-6.997942857142857,-5.881657142857143,-9.256866071428572,-6.590371428571428,-16.066598214285715,-15.1862375,-7.233512500000001
v3.0.0,RA,-10.841051648351648,-16.18310989010989,-16.733113186813185,-11.431017582417583,-10.116626373626373,-10.562937362637363,-14.691564835164835,-13.789246153846154,-10.082651648351648,-12.479086813186813,-10.98657912087912,-16.274053846153848,-16.628165934065933,-11.338115384615383
v3.0.0,Still,-4.666947368421053,-14.302077192982456,-17.309794736842107,-5.857873684210526,-4.501598245614034,-4.7294210526315785,-4.761310526315789,-4.670114035087719,-5.41709298245614,-7.600733333333333,-4.666947368421053,-14.302077192982456,-17.309794736842107,-5.075729824561403
v4.0.0,AI,-11.377768131868132,-26.36483186813187,-30.039354945054942,-13.237773626373627,-10.499548351648352,-11.195328571428572,-11.781516483516484,-11.424489010989012,-11.336172527472527,-17.757316483516483,-11.371592307692309,-26.38859010989011,-30.013582417582416,-12.684348351648351
