tag,cfg,class,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
v3.0.0,AI,B2,-10.639966666666666,-21.573777777777778,-22.841577777777776,-11.811966666666667,-10.728066666666667,-11.12202222222222,-9.102144444444445,-8.69047777777778,-11.609188888888887,-18.382455555555556,-10.7088,-21.54922222222222,-22.823144444444445,-11.712566666666667
v3.0.0,AI,E,-6.22546875,-16.88400625,-16.85895625,-7.66388125,-5.26749375,-5.59494375,-8.2754375,-8.1507,-6.6436,-9.7252625,-6.09359375,-16.75693125,-16.59118125,-6.525375
v3.0.0,AI,G1,-9.09135,-29.724325,-48.4803,-12.889275,-6.1648499999999995,-7.76215,-9.293700000000001,-9.4363,-8.923275,-20.621650000000002,-9.101075000000002,-29.8521,-48.498425,-11.35585
v3.0.0,AI,G2,-10.062328571428571,-34.75602857142857,-41.618228571428574,-13.337242857142856,-8.881857142857143,-9.382742857142857,-10.430485714285714,-10.071171428571429,-10.090300000000001,-21.440057142857142,-10.09687142857143,-34.6271,-41.60582857142857,-11.491657142857141
v3.0.0,AS,A1,-12.3428625,-14.73105,-16.6355625,-12.726075,-10.0233625,-11.3174125,-15.2303,-14.61875,-11.635275,-13.9851875,-12.3673125,-14.703575,-16.7515875,-12.772287500000001
v3.0.0,LD,A2,-6.449889473684211,-15.636468421052632,-16.33627894736842,-7.319247368421053,-5.739584210526315,-6.145452631578947,-7.906178947368421,-7.511973684210526,-5.555505263157895,-9.333221052631579,-6.562747368421053,-15.962484210526314,-16.505663157894737,-7.238563157894737
v3.0.0,LD,A3,-5.0006875,-14.5168125,-14.10195,-5.90625,-4.570625,-4.579175,-5.2824124999999995,-4.852925,-4.8854375,-8.8433125,-4.9983625,-14.41815,-13.8017,-5.5793125
v3.0.0,LD,A4,-3.9156833333333334,-18.098583333333334,-16.99185,-5.198283333333333,-5.634633333333333,-4.627883333333333,-3.5315499999999997,-4.06125,-2.2715166666666664,-6.5813,-4.134333333333333,-18.491383333333335,-17.325916666666668,-5.042416666666667
v3.0.0,LD,A5,-2.88035,-16.6004,-5.56445,-3.6778,-2.831775,-2.814,-5.038600000000001,-4.683125,-3.3183249999999997,-5.1827499999999995,-3.0689,-16.3619,-5.2997,-3.4287
v3.0.0,LD,B1,-5.79465,-12.93353,-13.08279,-6.487439999999999,-5.82189,-6.26333,-5.91648,-5.59847,-4.591060000000001,-7.174549999999999,-5.70578,-14.39622,-13.061599999999999,-6.1591499999999995
v3.0.0,LD,B2,-12.1678,-18.621077777777778,-19.58498888888889,-12.86791111111111,-12.511288888888888,-12.491888888888889,-14.022211111111112,-12.361022222222223,-12.435744444444445,-15.37138888888889,-12.249144444444445,-17.85988888888889,-18.959755555555557,-13.038744444444445
v3.0.0,RA,A1,-12.071349999999999,-15.4302,-17.7177875,-12.53455,-10.066,-11.2356625,-15.8735375,-14.9312625,-11.3546125,-14.012075000000001,-12.16075,-15.4704625,-17.8862875,-12.6565
v3.0.0,RA,A2,-11.518931578947369,-15.516405263157896,-15.85941052631579,-11.879,-10.416115789473684,-11.050463157894736,-15.898494736842105,-14.851510526315788,-10.151752631578947,-12.408726315789474,-11.681315789473684,-15.670642105263159,-15.887494736842104,-11.978042105263157
v3.0.0,RA,A3,-11.8569,-17.905125,-17.5623625,-12.441575,-11.3802625,-11.6060625,-15.1586625,-14.0239375,-11.500475,-14.6637625,-11.8764625,-17.7595375,-17.201762499999997,-12.23295
v3.0.0,RA,A4,-9.3237,-18.3454,-14.815966666666668,-10.127583333333334,-10.306533333333332,-10.045366666666666,-13.054683333333335,-12.625933333333334,-7.433266666666666,-10.607583333333332,-9.536683333333334,-18.376066666666667,-14.978016666666667,-10.130766666666666
v3.0.0,RA,A5,-9.42615,-18.803024999999998,-12.194825,-10.035475,-9.04,-9.53195,-14.5606,-13.975975,-9.9407,-11.58585,-9.744250000000001,-18.530475,-11.98285,-9.954274999999999
v3.0.0,RA,B1,-9.06479,-9.11698,-10.99915,-9.17638,-9.03712,-9.465610000000002,-12.31633,-11.44755,-7.53366,-7.832589999999999,-9.12667,-10.013259999999999,-10.81862,-9.10244
v3.0.0,RA,B2,-11.131577777777778,-18.389744444444446,-19.22211111111111,-11.92928888888889,-11.122622222222223,-11.441088888888888,-12.387566666666666,-11.019677777777778,-11.697,-14.892855555555554,-11.113311111111111,-17.664188888888887,-18.606488888888887,-11.997788888888888
v3.0.0,RA,E,-8.48411875,-10.2314375,-8.8062,-8.7698625,-7.2966,-7.672725,-12.041875000000001,-11.43805,-7.9512875,-8.81108125,-8.8595125,-10.1103375,-8.6357375,-8.8946375
v3.0.0,RA,G1,-15.588225,-27.6528,-35.598225,-17.200975,-13.4961,-14.0535,-22.6599,-21.760625,-14.7147,-20.61055,-15.75925,-27.939799999999998,-35.553525,-16.694475
v3.0.0,RA,G2,-13.381757142857142,-27.841785714285717,-33.597942857142854,-15.079442857142856,-13.133242857142857,-13.3616,-18.867414285714286,-17.948242857142855,-12.963700000000001,-17.807771428571428,-13.323314285714286,-28.6205,-33.82375714285714,-13.7674
v3.0.0,Still,F1,-3.8400250000000002,-16.10824285714286,-18.82197857142857,-5.164110714285714,-4.148792857142857,-4.065971428571428,-5.008253571428571,-4.833725,-5.018925,-7.2773071428571425,-3.8400250000000002,-16.10824285714286,-18.82197857142857,-4.403878571428572
v3.0.0,Still,F2,-5.465355172413792,-12.558193103448275,-15.849755172413794,-6.527713793103448,-4.842237931034483,-5.369993103448277,-4.52288275862069,-4.512144827586207,-5.801531034482759,-7.913006896551725,-5.465355172413792,-12.558193103448275,-15.849755172413794,-5.724413793103449
v4.0.0,AI,A1,-10.8684875,-20.8516875,-23.9733375,-12.292125,-8.3570875,-10.401925,-11.9158375,-11.5706125,-10.8471,-16.76265,-10.8644375,-20.851512500000002,-23.960175,-12.5476875
v4.0.0,AI,A2,-9.763652631578948,-21.07657894736842,-25.731147368421052,-11.105210526315789,-8.406115789473683,-9.369194736842106,-10.426373684210526,-9.89186842105263,-8.85001052631579,-13.947799999999999,-9.765073684210527,-21.06814736842105,-25.734947368421054,-10.865278947368422
v4.0.0,AI,A3,-9.976099999999999,-24.031875,-27.7698125,-11.534062500000001,-9.347312500000001,-9.495075,-9.787325,-9.500475,-9.97355,-15.215625,-9.9759125,-24.034599999999998,-27.7780625,-11.079225000000001
v4.0.0,AI,A4,-8.719716666666667,-28.00276666666667,-36.7618,-10.777566666666667,-10.825666666666669,-9.053700000000001,-8.412833333333333,-7.991316666666666,-7.652550000000001,-14.525333333333334,-8.715733333333333,-28.014233333333333,-36.58166666666667,-9.901716666666667
v4.0.0,AI,A5,-6.597575,-23.687649999999998,-21.75605,-8.206199999999999,-7.794975,-7.41075,-7.578150000000001,-7.462375,-7.89045,-12.677975,-6.5922,-23.750574999999998,-21.79465,-7.373675
v4.0.0,AI,B1,-12.51795,-26.397969999999997,-27.63342,-14.090709999999998,-11.371410000000001,-12.493820000000001,-11.507990000000001,-11.05605,-11.50732,-18.03766,-12.51878,-26.455399999999997,-27.60591,-13.91692
v4.0.0,AI,B2,-20.362155555555557,-36.98934444444444,-38.33462222222222,-22.204833333333333,-21.825366666666667,-22.224366666666665,-18.449566666666666,-18.285455555555554,-22.42658888888889,-31.495311111111114,-20.473322222222222,-37.06916666666667,-38.36646666666667,-22.271366666666665
v4.0.0,AI,E,-9.78496875,-22.90984375,-23.6906,-11.6023,-8.3423375,-9.01730625,-11.9895875,-11.73796875,-10.243425,-14.001362499999999,-9.6741125,-22.97610625,-23.63298125,-10.56061875
v4.0.0,AI,G1,-12.102425,-33.69715,-51.934,-15.951274999999999,-8.3453,-10.80645,-12.878775,-12.706625,-11.80535,-23.80975,-12.107825,-33.79925,-51.86625,-14.512875
v4.0.0,AI,G2,-12.999157142857143,-39.8113,-45.00255714285714,-16.47802857142857,-11.567514285714285,-12.165542857142857,-13.589642857142858,-13.079042857142856,-13.05292857142857,-24.874614285714284,-13.032528571428571,-39.69987142857143,-44.963928571428575,-14.7546
v4.0.0,AS,A1,-19.10925,-26.6148125,-28.556675,-20.062375,-15.756237500000001,-18.1516125,-23.940375,-23.0137875,-18.35565,-22.88155,-19.0659625,-26.6270625,-28.661925,-20.107625
v4.0.0,LD,A2,-12.10388947368421,-25.343784210526316,-26.682652631578947,-13.415884210526317,-11.160857894736841,-11.695805263157895,-14.416694736842103,-13.79638947368421,-11.11383157894737,-16.126594736842105,-12.263284210526315,-25.658236842105264,-26.847178947368423,-13.238431578947369
v4.0.0,LD,A3,-12.1734125,-25.84085,-25.4771875,-13.5064,-11.2434,-11.38405,-12.8166875,-12.172725,-11.6509625,-17.3130125,-12.194212499999999,-25.756525,-25.269725,-13.0382125
